Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1",0805,2,0.1u,
"D1_2, D1, D6_2, D6",0603,4,Yellow,
"D10_2, D10",0603,2,PWR,
"D11_2, D11",D_TUMD2,2,CUHS20S30,
"D2_2, D2",0603,2,PA6,
"D3_2, D3",0603,2,PA1,
"D4_2, D4",0603,2,PA7,
"D5_2, D5",0603,2,PA3,
"D7_2, D7",0603,2,USR1,
"D8_2, D8",0603,2,USR2,
"D9_2, D9",0603,2,USR3,
"H1_2, H1, H2_2, H2, H3_2, H3, H4_2, H4",MountingHole_3.2mm_M3_DIN965_Pad,8,MountingHole_Pad,
"J1_2, J1",PinHeader_1x02_P2.54mm_Vertical,2,PA5,
"J10_2, J10",Kai_LAN_RJ45_Neltron_Industrial_7810-8P8C,2,CAN1B,
"J11_2, J11, J16_2, J16",JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,4,5V_IO,
"J12_2, J12, J18_2, J18",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal_Handsolder,4,CAN,
"J13_2, J13, J17_2, J17",PinHeader_1x02_P2.54mm_Vertical,4,3v3_IO,
"J14_2, J14",JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,2,Int1,
"J15_2, J15",JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,2,Int2,
"J2_2, J2",JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,2,PA5,
"J3_2, J3",JST_XA_B05B-XASK-1_1x05_P2.50mm_Vertical,2,ENC2,
"J4_2, J4",JST_XA_B05B-XASK-1_1x05_P2.50mm_Vertical,2,ENC1,
"J5_2, J5",JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,2,Motor1,
"J6_2, J6",JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,2,Motor2,
"J7_2, J7",PinHeader_1x02_P2.54mm_Vertical,2,PA0,
"J8_2, J8",JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,2,PA0,
"J9_2, J9",Kai_LAN_RJ45_Neltron_Industrial_7810-8P8C,2,CAN1A,
"JP1_2, JP1",solderbridge,2,PA5,
"JP10_2, JP10",solderbridge,2,PA1-Buz,
"JP11_2, JP11",solderbridge,2,5v-Buz,
"JP12_2, JP12",solderbridge,2,NRST-3V3,
"JP2_2, JP2",solderbridge,2,PA6,
"JP3_2, JP3",solderbridge,2,PA1,
"JP4_2, JP4",solderbridge,2,PA7,
"JP5_2, JP5",solderbridge,2,PA3,
"JP6_2, JP6",solderbridge,2,PA0,
"JP7_2, JP7",solderbridge,2,USR1,
"JP8_2, JP8",solderbridge,2,USR2,
"JP9_2, JP9",solderbridge,2,USR3,
"LS1_2, LS1",UGCT7525AN4,2,UGCT7525AN4,
"Q1_2, Q1",SOT-23,2,2N7002K,
"R1_2, R1, R11_2, R11, R6_2, R6, R7_2, R7, R8_2, R8, R9_2, R9",0805,12,1k,
"R10_2, R10",0805,2,120R,
"R12_2, R12",0805,2,200R,
"R13_2, R13",0805,2,2K,
"R14_2, R14",0805,2,100R,
"R2_2, R2, R3_2, R3",0805,4,3k3,
"R4_2, R4, R5_2, R5",0805,4,500R,
"SW1_2, SW1",SW_SPST_PTS810_HandSolder,2,USR1,
"SW2_2, SW2",SW_SPST_PTS810_HandSolder,2,USR2,
"SW3_2, SW3",SW_SPST_PTS810_HandSolder,2,USR3,
"SW4_2, SW4",slide_SW,2,SW_DPDT_x2,
"SW5_2, SW5",SW_SPST_PTS810_HandSolder,2,NRST,
"U1_2, U1",MODULE_NUCLEO-F303K8,2,NUCLEO-F303K8,
"U2_2, U2",DIP-8_W7.62mm,2,MCP2561-E-P,
